Año,mes,dia,incid
2017,8,22,210
2017,8,23,208
2017,8,24,210
2017,8,25,250
2017,8,26,152
2017,8,27,118
2017,8,28,236
2017,8,29,261
2017,8,30,301
2017,8,31,278
2017,9,1,269
2017,9,2,171
2017,9,3,125
2017,9,4,262
2017,9,5,259
2017,9,6,225
2017,9,7,266
2017,9,8,194
2017,9,9,157
2017,9,10,105
2017,9,11,289
2017,9,12,252
2017,9,13,213
2017,9,14,225
2017,9,15,237
2017,9,16,95
2017,9,17,111
2017,9,18,229
2017,9,19,269
2017,9,20,176
2017,9,21,169
2017,9,22,146
2017,9,23,126
2017,9,24,58
2017,9,25,205
2017,9,26,194
2017,9,27,213
2017,9,28,200
2017,9,29,223
2017,9,30,173
2017,10,1,138
2017,10,2,209
2017,10,3,219
2017,10,4,194
2017,10,5,220
2017,10,6,262
2017,10,7,154
2017,10,8,79
2017,10,9,228
2017,10,10,221
2017,10,11,213
2017,10,12,211
2017,10,13,226
2017,10,14,181
2017,10,15,103
2017,10,16,222
2017,10,17,234
2017,10,18,206
2017,10,19,221
2017,10,20,224
2017,10,21,62
2017,10,22,99
2017,10,23,216
2017,10,24,231
2017,10,25,241
2017,10,26,242
2017,10,27,292
2017,10,28,175
2017,10,29,116
2017,10,30,272
2017,10,31,275
2017,11,1,190
2017,11,2,101
2017,11,3,207
2017,11,4,137
2017,11,5,88
2017,11,6,222
2017,11,7,237
2017,11,8,268
2017,11,9,212
2017,11,10,260
2017,11,11,147
2017,11,12,101
2017,11,13,246
2017,11,14,264
2017,11,15,253
2017,11,16,236
2017,11,17,261
2017,11,18,195
2017,11,19,97
2017,11,20,122
2017,11,21,293
2017,11,22,276
2017,11,23,255
2017,11,24,268
2017,11,25,184
2017,11,26,125
2017,11,27,234
2017,11,28,278
2017,11,29,250
2017,11,30,235
2017,12,1,262
2017,12,2,182
2017,12,3,132
2017,12,4,227
2017,12,5,273
2017,12,6,270
2017,12,7,243
2017,12,8,324
2017,12,9,200
2017,12,10,142
2017,12,11,258
2017,12,12,183
2017,12,13,264
2017,12,14,265
2017,12,15,274
2017,12,16,193
2017,12,17,143
2017,12,18,222
2017,12,19,230
2017,12,20,249
2017,12,21,224
2017,12,22,226
2017,12,23,126
2017,12,24,94
2017,12,25,47
2017,12,26,146
2017,12,27,128
